step,optimizer,matrix,fro_norm,spectral_norm,stable_rank,topk_energy,row_norm_max_over_mean,col_norm_max_over_mean,singular_values,rel_delta_fro,rel_delta_spectral,top_v_cos,top_u_cos,V_topk_overlap,U_topk_overlap,grad_top_svd_projection_l2,grad_fro_norm
0,adamw,layers.0.attn.q_proj.weight,2.5099360942840576,0.43820920586586,32.806683900881026,0.21315346658229828,1.210518479347229,1.1493866443634033,"[0.43820920586586, 0.4316697120666504, 0.42201048135757446, 0.4098510444164276, 0.408719003200531, 0.39701271057128906, 0.3848676383495331, 0.38156190514564514]",,,,,,,,
0,adamw,layers.0.attn.k_proj.weight,2.5588274002075195,0.4540677070617676,31.757093847344933,0.20894400775432587,1.1633881330490112,1.1742271184921265,"[0.4540677070617676, 0.4188723862171173, 0.41723960638046265, 0.4157642126083374, 0.40349674224853516, 0.4010988473892212, 0.3988955318927765, 0.3958461582660675]",,,,,,,,
0,adamw,layers.0.attn.v_proj.weight,2.5664918422698975,0.43791669607162476,34.347629481490486,0.2100331038236618,1.16145658493042,1.186361312866211,"[0.43791669607162476, 0.42650890350341797, 0.4251497685909271, 0.4169785976409912, 0.4146823585033417, 0.4068782329559326, 0.3995480239391327, 0.3975023031234741]",,,,,,,,
0,adamw,layers.0.attn.o_proj.weight,2.5554041862487793,0.43447425961494446,34.59322887245084,0.21187397837638855,1.1933141946792603,1.1687878370285034,"[0.43447425961494446, 0.4318913519382477, 0.425979346036911, 0.4193149507045746, 0.40785202383995056, 0.4054572880268097, 0.40330907702445984, 0.3969607651233673]",,,,,,,,
0,adamw,layers.0.mlp.gate_proj.weight,4.428025722503662,0.6168933510780334,51.5228752845977,0.13817141950130463,1.2025994062423706,1.0949451923370361,"[0.6168933510780334, 0.6012126803398132, 0.5912564396858215, 0.5768524408340454, 0.5742576718330383, 0.5696948170661926, 0.5631964802742004, 0.5597425103187561]",,,,,,,,
0,adamw,layers.0.mlp.up_proj.weight,4.444814205169678,0.6166309714317322,51.95849411666114,0.13853393495082855,1.1922861337661743,1.0945225954055786,"[0.6166309714317322, 0.6001770496368408, 0.5941001176834106, 0.584189236164093, 0.5808234810829163, 0.5694031715393066, 0.5683828592300415, 0.5635728240013123]",,,,,,,,
0,adamw,layers.0.mlp.down_proj.weight,4.445439338684082,0.6026526093482971,54.41207576444197,0.1377580314874649,1.0824791193008423,1.1506288051605225,"[0.6026526093482971, 0.5968784093856812, 0.5935896039009094, 0.5867235660552979, 0.5823559761047363, 0.5727251768112183, 0.5669663548469543, 0.5636624097824097]",,,,,,,,
0,adamw,layers.1.attn.q_proj.weight,2.5751872062683105,0.4485630393028259,32.95874305577607,0.21483522653579712,1.1854863166809082,1.199429988861084,"[0.4485630393028259, 0.4381527602672577, 0.4300318658351898, 0.4241253435611725, 0.41718852519989014, 0.4133191704750061, 0.40437284111976624, 0.3978772759437561]",,,,,,,,
0,adamw,layers.1.attn.k_proj.weight,2.5886197090148926,0.4469408392906189,33.545666610787,0.21393555402755737,1.1889705657958984,1.1530762910842896,"[0.4469408392906189, 0.4394955635070801, 0.4317407011985779, 0.42148885130882263, 0.4206297695636749, 0.41247719526290894, 0.407022625207901, 0.40481212735176086]",,,,,,,,
0,adamw,layers.1.attn.v_proj.weight,2.5643868446350098,0.4492698311805725,32.580111616811564,0.21237298846244812,1.1655232906341553,1.1592046022415161,"[0.4492698311805725, 0.44211506843566895, 0.43263834714889526, 0.4216388165950775, 0.40840083360671997, 0.3998056650161743, 0.3956829905509949, 0.3887367844581604]",,,,,,,,
0,adamw,layers.1.attn.o_proj.weight,2.543765068054199,0.44162672758102417,33.177472629943736,0.20926649868488312,1.1863813400268555,1.1891995668411255,"[0.44162672758102417, 0.4241584837436676, 0.41884440183639526, 0.4127036929130554, 0.405498206615448, 0.4031536281108856, 0.39225998520851135, 0.39061540365219116]",,,,,,,,
0,adamw,layers.1.mlp.gate_proj.weight,4.4413652420043945,0.6180023550987244,51.64790605081749,0.13724786043167114,1.172709345817566,1.0935535430908203,"[0.6180023550987244, 0.5964836478233337, 0.5896830558776855, 0.5861406326293945, 0.5716198086738586, 0.5695104002952576, 0.5619179010391235, 0.5580907464027405]",,,,,,,,
0,adamw,layers.1.mlp.up_proj.weight,4.401653289794922,0.6095384359359741,52.147016889732306,0.1409856528043747,1.1913999319076538,1.0881023406982422,"[0.6095384359359741, 0.6033794283866882, 0.5890390872955322, 0.5841169953346252, 0.5833191871643066, 0.5732492208480835, 0.5708787441253662, 0.5594577789306641]",,,,,,,,
0,adamw,layers.1.mlp.down_proj.weight,4.435472011566162,0.6270471811294556,50.03561551028066,0.1394977569580078,1.0856362581253052,1.1582483053207397,"[0.6270471811294556, 0.6027712821960449, 0.5955590009689331, 0.5875877737998962, 0.5761946439743042, 0.5672041177749634, 0.5637159943580627, 0.5625209212303162]",,,,,,,,
50,adamw,layers.0.attn.q_proj.weight,2.6146411895751953,0.5695821046829224,21.07227983461023,0.23738984763622284,1.1535481214523315,1.1959871053695679,"[0.5695821046829224, 0.4776960611343384, 0.44700512290000916, 0.4358888566493988, 0.4297232925891876, 0.4217775762081146, 0.40008875727653503, 0.39726629853248596]",0.2547098696231842,0.8618308901786804,0.20350155234336853,0.2355721890926361,0.6935499906539917,0.6908370852470398,0.0003134131256956607,0.0015292445896193385
50,adamw,layers.0.attn.k_proj.weight,2.6637775897979736,0.5625587701797485,22.42126555942843,0.22580379247665405,1.1580339670181274,1.159216046333313,"[0.5625587701797485, 0.45400962233543396, 0.44335779547691345, 0.439451664686203, 0.42332884669303894, 0.41984912753105164, 0.41211938858032227, 0.4057517945766449]",0.2538304626941681,0.8607111573219299,0.4288051426410675,0.44448432326316833,0.6744751930236816,0.6833269596099854,0.00025622546672821045,0.001145129557698965
50,adamw,layers.0.attn.v_proj.weight,2.5251572132110596,0.4417155086994171,32.68071491929149,0.215518981218338,1.163779616355896,1.176113247871399,"[0.4417155086994171, 0.43103858828544617, 0.41854140162467957, 0.4147194027900696, 0.41214317083358765, 0.4043121933937073, 0.39630424976348877, 0.3946847915649414]",0.13975825905799866,0.5348445177078247,0.07800672948360443,0.06287870556116104,0.909551739692688,0.9125089645385742,0.0030164443887770176,0.029776807874441147
50,adamw,layers.0.attn.o_proj.weight,2.5096592903137207,0.43467724323272705,33.33463650718043,0.2144698053598404,1.1773914098739624,1.1504738330841064,"[0.43467724323272705, 0.42785584926605225, 0.4160696268081665, 0.41173386573791504, 0.404812216758728, 0.4037621319293976, 0.3961799740791321, 0.3902760446071625]",0.1413905769586563,0.4946649670600891,0.8238260746002197,0.8216776847839355,0.9001213312149048,0.8987085819244385,0.0018140481552109122,0.039531953632831573
50,adamw,layers.0.mlp.gate_proj.weight,4.622710704803467,0.8123912811279297,32.37896211608943,0.16132082045078278,1.223897933959961,1.080263376235962,"[0.8123912811279297, 0.6967846155166626, 0.6649497151374817, 0.6285342574119568, 0.6211138367652893, 0.6055716872215271, 0.5971803069114685, 0.5962492823600769]",0.24943184852600098,0.8920840620994568,0.08026044815778732,0.06533545255661011,0.5846740007400513,0.5721258521080017,0.004673951771110296,0.021925192326307297
50,adamw,layers.0.mlp.up_proj.weight,4.648350715637207,0.8179216980934143,32.297902333173354,0.16159924864768982,1.208388328552246,1.1039575338363647,"[0.8179216980934143, 0.7379130125045776, 0.6549251675605774, 0.6249538660049438, 0.6229109168052673, 0.6088176369667053, 0.5968330502510071, 0.5863518714904785]",0.24939078092575073,0.910487711429596,0.05598603934049606,0.052937064319849014,0.5797864198684692,0.5697137713432312,0.004256604705005884,0.018867190927267075
50,adamw,layers.0.mlp.down_proj.weight,4.642909526824951,0.9242962002754211,25.232373610352724,0.1778356283903122,1.085773229598999,1.1622650623321533,"[0.9242962002754211, 0.7831774950027466, 0.7107598185539246, 0.6443173885345459, 0.6134076714515686, 0.6092042922973633, 0.5963264107704163, 0.5852503180503845]",0.25503069162368774,1.0404061079025269,0.2810477316379547,0.2940424084663391,0.49955156445503235,0.5028622150421143,0.005363061558455229,0.03408706188201904
50,adamw,layers.1.attn.q_proj.weight,2.655573606491089,0.6457325220108032,16.91263854133248,0.24033375084400177,1.2066019773483276,1.1714218854904175,"[0.6457325220108032, 0.4589633047580719, 0.4372073709964752, 0.43310755491256714, 0.42355337738990784, 0.4218282103538513, 0.41340717673301697, 0.4003225564956665]",0.2364102303981781,1.139917254447937,0.052675627171993256,0.06055532395839691,0.837824285030365,0.842082679271698,2.227579170721583e-05,0.0003153667494188994
50,adamw,layers.1.attn.k_proj.weight,2.6713435649871826,0.6813007593154907,15.373818432125859,0.2444743663072586,1.1952955722808838,1.1315085887908936,"[0.6813007593154907, 0.4453616142272949, 0.44283488392829895, 0.4355470836162567, 0.4275530278682709, 0.4224492907524109, 0.41380035877227783, 0.40468525886535645]",0.2321181744337082,1.1143760681152344,0.26167798042297363,0.30718594789505005,0.8553543090820312,0.8538405895233154,4.4479114876594394e-05,0.0003456929116509855
50,adamw,layers.1.attn.v_proj.weight,2.561567544937134,0.536662220954895,22.782930059514488,0.2262190282344818,1.141376256942749,1.149510145187378,"[0.536662220954895, 0.4431695342063904, 0.425780713558197, 0.4195346534252167, 0.4155038893222809, 0.4007265269756317, 0.3968425989151001, 0.38981014490127563]",0.1591324657201767,0.74394690990448,0.16172271966934204,0.16863644123077393,0.8609205484390259,0.8610800504684448,0.004064763430505991,0.04895418509840965
50,adamw,layers.1.attn.o_proj.weight,2.5491371154785156,0.5609716773033142,20.649261442711335,0.22764632105827332,1.157089352607727,1.2021663188934326,"[0.5609716773033142, 0.43280842900276184, 0.4153628647327423, 0.4129851162433624, 0.4073684811592102, 0.40052470564842224, 0.39803388714790344, 0.3864888548851013]",0.16933615505695343,0.8513712882995605,0.2072855830192566,0.1990407556295395,0.8667418360710144,0.8633713722229004,0.002754498738795519,0.09311558306217194
50,adamw,layers.1.mlp.gate_proj.weight,4.523210048675537,0.7496083378791809,36.41033668197816,0.14767080545425415,1.1782240867614746,1.1033912897109985,"[0.7496083378791809, 0.6189530491828918, 0.612937867641449, 0.5991480946540833, 0.5928230285644531, 0.5807487964630127, 0.5745902061462402, 0.5680783987045288]",0.1736191362142563,0.8468098044395447,0.08643685281276703,0.052438393235206604,0.8000986576080322,0.7942113876342773,0.0007716850959695876,0.02353678084909916
50,adamw,layers.1.mlp.up_proj.weight,4.486362457275391,0.7836430668830872,32.775711197133234,0.1529570072889328,1.1870737075805664,1.087921142578125,"[0.7836430668830872, 0.6173640489578247, 0.6119607090950012, 0.5983198881149292, 0.5879566073417664, 0.5824320912361145, 0.5780401825904846, 0.5760796666145325]",0.17863690853118896,0.8896939754486084,0.039414629340171814,0.051475852727890015,0.828517735004425,0.8230014443397522,0.001594339031726122,0.020419063046574593
50,adamw,layers.1.mlp.down_proj.weight,4.518394470214844,0.8164701461791992,30.625815922526154,0.15575414896011353,1.0824702978134155,1.1524827480316162,"[0.8164701461791992, 0.642024040222168, 0.6168403625488281, 0.6037769913673401, 0.5928890109062195, 0.5836887955665588, 0.5803351402282715, 0.5718440413475037]",0.1806725412607193,0.8717705607414246,0.0628681406378746,0.04567093029618263,0.6723534464836121,0.6770915985107422,0.0025136012118309736,0.03927271068096161
100,adamw,layers.0.attn.q_proj.weight,2.7497923374176025,0.7466132044792175,13.564645920493545,0.28572332859039307,1.1357651948928833,1.2334132194519043,"[0.7466132044792175, 0.5942158699035645, 0.5182328820228577, 0.4784303903579712, 0.4531039297580719, 0.4361071288585663, 0.4329961836338043, 0.411695659160614]",0.1960681825876236,0.5549172759056091,0.9201154112815857,0.9337589144706726,0.8377678990364075,0.8476099371910095,0.0003916484711226076,0.004119252786040306
100,adamw,layers.0.attn.k_proj.weight,2.809699535369873,0.7322896718978882,14.721563662823117,0.2720881998538971,1.1709800958633423,1.1608556509017944,"[0.7322896718978882, 0.5577350854873657, 0.524480402469635, 0.47706788778305054, 0.4643777012825012, 0.45788708329200745, 0.44262003898620605, 0.42043498158454895]",0.19257155060768127,0.4760877788066864,0.9411625266075134,0.9494932293891907,0.734394907951355,0.7315928339958191,0.0003410134231671691,0.002786586992442608
100,adamw,layers.0.attn.v_proj.weight,2.4473302364349365,0.4228212833404541,33.502056882497996,0.21603384613990784,1.167149543762207,1.1719229221343994,"[0.4228212833404541, 0.41172099113464355, 0.41139113903045654, 0.405473917722702, 0.4007411003112793, 0.39070212841033936, 0.39009183645248413, 0.3828340768814087]",0.10211260616779327,0.3019973039627075,0.05667034909129143,0.051788438111543655,0.9374499917030334,0.9396681189537048,0.0020186700858175755,0.0562332458794117
100,adamw,layers.0.attn.o_proj.weight,2.430521249771118,0.424497127532959,32.78304827051719,0.2164943963289261,1.167555332183838,1.1456212997436523,"[0.424497127532959, 0.4143974184989929, 0.4084710478782654, 0.4005787968635559, 0.3967270851135254, 0.3901884853839874, 0.3827856779098511, 0.37884873151779175]",0.10035831481218338,0.28916868567466736,0.9680632948875427,0.9690455198287964,0.9229387640953064,0.9227083325386047,0.00130332144908607,0.05877602472901344
100,adamw,layers.0.mlp.gate_proj.weight,4.806484222412109,0.9787096381187439,24.11833436679636,0.1903052181005478,1.2415839433670044,1.0788428783416748,"[0.9787096381187439, 0.7887868285179138, 0.7455147504806519, 0.7272092700004578, 0.6753163933753967, 0.6707503795623779, 0.6487842798233032, 0.6363400816917419]",0.16263839602470398,0.43456754088401794,0.8791234493255615,0.8544776439666748,0.8134317398071289,0.803467333316803,0.007991445250809193,0.035428423434495926
100,adamw,layers.0.mlp.up_proj.weight,4.8403096199035645,1.0049892663955688,23.196552232759718,0.1913716048002243,1.2113043069839478,1.1062716245651245,"[1.0049892663955688, 0.8251650929450989, 0.7436346411705017, 0.7182098031044006, 0.6888445615768433, 0.6708187460899353, 0.63740074634552, 0.6269493699073792]",0.1662054806947708,0.46329420804977417,0.8976130485534668,0.8747956156730652,0.7446600794792175,0.7310498952865601,0.006121031474322081,0.03226708993315697
100,adamw,layers.0.mlp.down_proj.weight,4.815844535827637,1.0850650072097778,19.698511097554608,0.22306331992149353,1.116483449935913,1.1436513662338257,"[1.0850650072097778, 0.8682295680046082, 0.8437560200691223, 0.7901633977890015, 0.7274567484855652, 0.686140239238739, 0.6817918419837952, 0.6641298532485962]",0.18424294888973236,0.4009081721305847,0.9724817276000977,0.9728549718856812,0.7427978515625,0.7190079092979431,0.011184380389750004,0.04912827908992767
100,adamw,layers.1.attn.q_proj.weight,2.7535088062286377,0.9200035929679871,8.957645943182246,0.2835335433483124,1.2422114610671997,1.1811660528182983,"[0.9200035929679871, 0.4640990197658539, 0.4411618113517761, 0.4374539256095886, 0.4272865056991577, 0.42511725425720215, 0.41962477564811707, 0.4031499922275543]",0.17260050773620605,0.5498575568199158,0.9685989022254944,0.9642558097839355,0.8917996287345886,0.8955591917037964,9.521895844954997e-05,0.0014469600282609463
